Sex,Race/Ethnicity,Age,Stage,AgeadjustedRateper100000,Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,Regional,13.7841,0.6821,12.4795,15.1791
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,Distant,8.9442,0.5455,7.907,10.0711
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,Unstaged,2.5663,0.3157,1.9852,3.2485
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,6.8868,0.4937,5.9531,7.9166
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,Localized,2.5447,0.2994,1.9919,3.1943
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,Regional,2.2776,0.2828,1.7573,2.8946
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,Distant,1.9578,0.2651,1.473,2.541
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,71.0637,3.1297,65.0612,77.4704
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Localized,29.3942,2.0121,25.5826,33.6129
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Regional,24.2299,1.8289,20.7777,28.0907
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Distant,14.2735,1.4016,11.659,17.2989
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Unstaged,3.1661,0.661,2.0057,4.7521
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,187.2389,7.7207,172.4104,203.0007
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,Localized,61.4051,4.3309,53.2095,70.5199
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,Regional,67.2729,4.6687,58.4331,77.0652
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,Distant,42.6228,3.6819,35.7122,50.4804
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65+,Unstaged,15.9382,2.345,11.6771,21.2124
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,Localized,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,Regional,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,4.0311,0.5123,3.09,5.1559
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Localized,1.5548,0.311,1.0061,2.2853
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Regional,1.3803,0.2986,0.8584,2.0887
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Distant,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,46.6925,1.8452,43.1456,50.457
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Localized,18.7463,1.167,16.5286,21.1829
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Regional,15.7059,1.0689,13.6806,17.9506
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Distant,10.5104,0.883,8.851,12.3932
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Unstaged,1.7299,0.347,1.1178,2.5666
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,145.0356,8.2469,129.3206,162.1163
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Localized,58.1007,5.208,48.3422,69.2352
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Regional,46.1769,4.6372,37.537,56.1955
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Distant,34.42,4.0537,26.9362,43.3107
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,233.4186,13.4164,207.8608,261.2564
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,Localized,65.0208,7.0561,51.93,80.4201
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,Regional,90.3565,8.3575,74.7201,108.3025
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,Distant,51.5984,6.3071,39.9823,65.5422
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,Unstaged,26.4429,4.5369,18.3093,36.9528
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,Localized,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,Regional,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,Distant,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,31.8252,0.2348,31.3666,32.2888
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,Localized,12.0883,0.1442,11.8073,12.3743
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,Regional,11.2781,0.14,11.0053,11.5559
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,Distant,6.2227,0.1035,6.0214,6.429
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,Unstaged,2.2361,0.0634,2.1135,2.3639
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,6.089,0.1197,5.8566,6.3283
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,Localized,1.8789,0.0665,1.7509,2.0139
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,Regional,2.3942,0.0751,2.2492,2.5462
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,Distant,1.5767,0.0609,1.4597,1.7008
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,Unstaged,0.2391,0.0236,0.1951,0.2903
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,All Stages,62.6502,0.7649,61.1599,64.1676
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Localized,26.0263,0.4951,25.0648,27.0151
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Regional,21.3394,0.4458,20.4746,22.2313
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Distant,12.1713,0.3352,11.5232,12.8465
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Unstaged,3.1132,0.1698,2.7892,3.4645
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,All Stages,142.6077,1.4692,139.7425,145.5169
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,Localized,54.0062,0.901,52.2545,55.8018
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,Regional,50.2063,0.8733,48.5092,51.9477
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,Distant,25.7656,0.6255,24.5541,27.0214
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,Unstaged,12.6296,0.4391,11.7835,13.5203
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,All Stages,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,Localized,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,Regional,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,All Stages,3.2931,0.1219,3.0584,3.541
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Localized,1.062,0.0693,0.9305,1.2067
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Regional,1.2363,0.0749,1.0939,1.392
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Distant,0.8406,0.0615,0.7244,0.9701
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Unstaged,0.1543,0.0262,0.1072,0.215
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,All Stages,41.5112,0.4506,40.6327,42.4041
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Localized,16.0487,0.2793,15.5059,16.6059
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Regional,14.766,0.2694,14.2425,15.3039
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Distant,8.7712,0.2077,8.3687,9.1882
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Unstaged,1.9253,0.0962,1.7414,2.1236
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,115.2885,1.7175,111.9466,118.7047
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Localized,47.7757,1.1015,45.641,49.9846
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Regional,40.4768,1.0196,38.5027,42.5255
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Distant,20.4965,0.7255,19.0991,21.969
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Unstaged,6.5395,0.4129,5.7552,7.4002
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,172.5009,2.4362,167.7586,177.343
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,Localized,60.8237,1.4519,58.011,63.737
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,Regional,60.8526,1.4491,58.0453,63.7603
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,Distant,31.5311,1.0421,29.5215,33.6412
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,Unstaged,19.2935,0.801,17.7553,20.9303
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,0.1644,0.0336,0.1053,0.2446
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,Localized,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,Regional,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,Distant,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Both Sexes,Black (includes Hispanic),All Ages,All Stages,44.5875,0.2611,44.0772,45.1021
Both Sexes,Black (includes Hispanic),All Ages,Localized,16.4169,0.1575,16.1098,16.7284
Both Sexes,Black (includes Hispanic),All Ages,Regional,13.9813,0.1467,13.6953,14.2716
Both Sexes,Black (includes Hispanic),All Ages,Distant,10.9986,0.129,10.7472,11.2542
Both Sexes,Black (includes Hispanic),All Ages,Unstaged,3.1907,0.0723,3.0504,3.3354
Both Sexes,Black (includes Hispanic),Ages < 50,All Stages,8.1401,0.1283,7.8905,8.3952
Both Sexes,Black (includes Hispanic),Ages < 50,Localized,2.568,0.0718,2.4292,2.7123
Both Sexes,Black (includes Hispanic),Ages < 50,Regional,2.8733,0.0764,2.7255,3.0267
Both Sexes,Black (includes Hispanic),Ages < 50,Distant,2.327,0.0687,2.1943,2.4653
Both Sexes,Black (includes Hispanic),Ages < 50,Unstaged,0.3719,0.0275,0.32,0.4295
Both Sexes,Black (includes Hispanic),Ages 50-64,All Stages,90.2496,0.8133,88.6624,91.858
Both Sexes,Black (includes Hispanic),Ages 50-64,Localized,36.1302,0.5158,35.1263,37.1555
Both Sexes,Black (includes Hispanic),Ages 50-64,Regional,26.3584,0.4389,25.5051,27.233
Both Sexes,Black (includes Hispanic),Ages 50-64,Distant,22.9324,0.4092,22.1374,23.7486
Both Sexes,Black (includes Hispanic),Ages 50-64,Unstaged,4.8286,0.1882,4.4667,5.212
Both Sexes,Black (includes Hispanic),Ages 65+,All Stages,199.0949,1.6724,195.8304,202.4003
Both Sexes,Black (includes Hispanic),Ages 65+,Localized,72.3213,1.0043,70.3661,74.3173
Both Sexes,Black (includes Hispanic),Ages 65+,Regional,62.897,0.9403,61.0674,64.7674
Both Sexes,Black (includes Hispanic),Ages 65+,Distant,46.4897,0.8069,44.9215,48.0988
Both Sexes,Black (includes Hispanic),Ages 65+,Unstaged,17.3869,0.503,16.4149,18.401
Both Sexes,Black (includes Hispanic),Ages <15,All Stages,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages <15,Localized,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages <15,Regional,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages 15-39,All Stages,4.3888,0.1325,4.1329,4.6558
Both Sexes,Black (includes Hispanic),Ages 15-39,Localized,1.3324,0.0722,1.1947,1.4811
Both Sexes,Black (includes Hispanic),Ages 15-39,Regional,1.5642,0.0796,1.4121,1.7276
Both Sexes,Black (includes Hispanic),Ages 15-39,Distant,1.2091,0.0697,1.0764,1.353
Both Sexes,Black (includes Hispanic),Ages 15-39,Unstaged,0.2831,0.0342,0.2201,0.3577
Both Sexes,Black (includes Hispanic),Ages 40-64,All Stages,58.7608,0.4799,57.8239,59.7093
Both Sexes,Black (includes Hispanic),Ages 40-64,Localized,22.3687,0.2946,21.7949,22.954
Both Sexes,Black (includes Hispanic),Ages 40-64,Regional,18.0198,0.2671,17.5,18.5513
Both Sexes,Black (includes Hispanic),Ages 40-64,Distant,15.435,0.2466,14.9554,15.9264
Both Sexes,Black (includes Hispanic),Ages 40-64,Unstaged,2.9373,0.1064,2.7325,3.1538
Both Sexes,Black (includes Hispanic),Ages 65-74,All Stages,169.1942,1.9502,165.3932,173.0603
Both Sexes,Black (includes Hispanic),Ages 65-74,Localized,65.3716,1.2108,63.0198,67.7886
Both Sexes,Black (includes Hispanic),Ages 65-74,Regional,54.5331,1.1077,52.3835,56.7482
Both Sexes,Black (includes Hispanic),Ages 65-74,Distant,40.4242,0.9535,38.5766,42.3371
Both Sexes,Black (includes Hispanic),Ages 65-74,Unstaged,8.8653,0.4483,8.0082,9.7887
Both Sexes,Black (includes Hispanic),Ages 75+,All Stages,231.8129,2.7772,226.4013,237.3209
Both Sexes,Black (includes Hispanic),Ages 75+,Localized,79.9259,1.6336,76.7558,83.1928
Both Sexes,Black (includes Hispanic),Ages 75+,Regional,72.0488,1.5518,69.039,75.1556
Both Sexes,Black (includes Hispanic),Ages 75+,Distant,53.1268,1.3292,50.5532,55.7972
Both Sexes,Black (includes Hispanic),Ages 75+,Unstaged,26.7114,0.9322,24.9153,28.6033
Both Sexes,Black (includes Hispanic),Ages < 20,All Stages,0.154,0.0253,0.1084,0.2124
Both Sexes,Black (includes Hispanic),Ages < 20,Localized,0.0917,0.0196,0.0575,0.139
Both Sexes,Black (includes Hispanic),Ages < 20,Regional,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages < 20,Distant,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Both Sexes,Hispanic (any race),All Ages,All Stages,33.6609,0.2118,33.247,34.0782
Both Sexes,Hispanic (any race),All Ages,Localized,12.2928,0.1274,12.0443,12.5448
Both Sexes,Hispanic (any race),All Ages,Regional,11.9084,0.1262,11.6624,12.1579
Both Sexes,Hispanic (any race),All Ages,Distant,7.1408,0.0969,6.9521,7.3329
Both Sexes,Hispanic (any race),All Ages,Unstaged,2.3189,0.0575,2.2075,2.434
Both Sexes,Hispanic (any race),Ages < 50,All Stages,5.9167,0.0843,5.7527,6.084
Both Sexes,Hispanic (any race),Ages < 50,Localized,1.96,0.0482,1.8666,2.0565
Both Sexes,Hispanic (any race),Ages < 50,Regional,2.175,0.0513,2.0756,2.2776
Both Sexes,Hispanic (any race),Ages < 50,Distant,1.5428,0.0432,1.4593,1.6295
Both Sexes,Hispanic (any race),Ages < 50,Unstaged,0.239,0.0169,0.207,0.2743
Both Sexes,Hispanic (any race),Ages 50-64,All Stages,63.759,0.6234,62.5429,64.9927
Both Sexes,Hispanic (any race),Ages 50-64,Localized,24.8605,0.3893,24.1034,25.6355
Both Sexes,Hispanic (any race),Ages 50-64,Regional,21.8803,0.3652,21.1703,22.608
Both Sexes,Hispanic (any race),Ages 50-64,Distant,13.3351,0.2852,12.782,13.906
Both Sexes,Hispanic (any race),Ages 50-64,Unstaged,3.683,0.1497,3.3954,3.9884
Both Sexes,Hispanic (any race),Ages 65+,All Stages,156.8033,1.4241,154.0244,159.6196
Both Sexes,Hispanic (any race),Ages 65+,Localized,56.5436,0.8527,54.8846,58.24
Both Sexes,Hispanic (any race),Ages 65+,Regional,55.807,0.8499,54.1535,57.4982
Both Sexes,Hispanic (any race),Ages 65+,Distant,31.8433,0.642,30.5973,33.127
Both Sexes,Hispanic (any race),Ages 65+,Unstaged,12.6094,0.4079,11.8225,13.4346
Both Sexes,Hispanic (any race),Ages <15,All Stages,0.1334,0.0203,0.0965,0.1794
Both Sexes,Hispanic (any race),Ages <15,Localized,0.1148,0.0189,0.0808,0.1581
Both Sexes,Hispanic (any race),Ages <15,Regional,-,-,-,-
Both Sexes,Hispanic (any race),Ages <15,Distant,-,-,-,-
Both Sexes,Hispanic (any race),Ages <15,Unstaged,-,-,-,-
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,3.646,0.0886,3.4745,3.8236
Both Sexes,Hispanic (any race),Ages 15-39,Localized,1.2963,0.0523,1.1958,1.4028
Both Sexes,Hispanic (any race),Ages 15-39,Regional,1.2758,0.0527,1.1746,1.3832
Both Sexes,Hispanic (any race),Ages 15-39,Distant,0.917,0.0447,0.8315,1.0086
Both Sexes,Hispanic (any race),Ages 15-39,Unstaged,0.1569,0.0183,0.1231,0.1968
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,41.1944,0.3521,40.5072,41.8904
Both Sexes,Hispanic (any race),Ages 40-64,Localized,15.338,0.2148,14.9198,15.7649
Both Sexes,Hispanic (any race),Ages 40-64,Regional,14.4758,0.2087,14.0695,14.8908
Both Sexes,Hispanic (any race),Ages 40-64,Distant,9.1775,0.1662,8.8546,9.5092
Both Sexes,Hispanic (any race),Ages 40-64,Unstaged,2.2031,0.0813,2.0465,2.3685
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,126.1607,1.6242,122.9972,129.3848
Both Sexes,Hispanic (any race),Ages 65-74,Localized,48.4453,1.0045,46.4963,50.4549
Both Sexes,Hispanic (any race),Ages 65-74,Regional,44.7126,0.9669,42.8375,46.6486
Both Sexes,Hispanic (any race),Ages 65-74,Distant,25.8405,0.7372,24.4156,27.3266
Both Sexes,Hispanic (any race),Ages 65-74,Unstaged,7.1623,0.388,6.422,7.9643
Both Sexes,Hispanic (any race),Ages 75+,All Stages,190.3328,2.3949,185.6676,195.0856
Both Sexes,Hispanic (any race),Ages 75+,Localized,65.4049,1.4073,62.6754,68.2223
Both Sexes,Hispanic (any race),Ages 75+,Regional,67.9467,1.4313,65.17,70.8111
Both Sexes,Hispanic (any race),Ages 75+,Distant,38.4117,1.0756,36.3323,40.5789
Both Sexes,Hispanic (any race),Ages 75+,Unstaged,18.5696,0.7413,17.145,20.0814
Both Sexes,Hispanic (any race),Ages < 20,All Stages,0.3109,0.027,0.2603,0.3683
Both Sexes,Hispanic (any race),Ages < 20,Localized,0.2477,0.0241,0.2028,0.2995
Both Sexes,Hispanic (any race),Ages < 20,Regional,0.042,0.0099,0.0249,0.0662
Both Sexes,Hispanic (any race),Ages < 20,Distant,-,-,-,-
Both Sexes,Hispanic (any race),Ages < 20,Unstaged,-,-,-,-
Both Sexes,Non-Hispanic White,All Ages,All Stages,38.8181,0.0971,38.6281,39.0089
Both Sexes,Non-Hispanic White,All Ages,Localized,14.9496,0.0601,14.832,15.068
Both Sexes,Non-Hispanic White,All Ages,Regional,13.6413,0.0577,13.5284,13.7549
Both Sexes,Non-Hispanic White,All Ages,Distant,8.0063,0.0444,7.9195,8.0939
Both Sexes,Non-Hispanic White,All Ages,Unstaged,2.2209,0.0225,2.177,2.2654
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,8.2035,0.0643,8.078,8.3305
Both Sexes,Non-Hispanic White,Ages < 50,Localized,2.8594,0.0379,2.7856,2.9346
Both Sexes,Non-Hispanic White,Ages < 50,Regional,3.021,0.039,2.945,3.0985
Both Sexes,Non-Hispanic White,Ages < 50,Distant,2.0579,0.0322,1.9952,2.122
Both Sexes,Non-Hispanic White,Ages < 50,Unstaged,0.2652,0.0116,0.243,0.289
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,66.9943,0.304,66.3997,67.5928
Both Sexes,Non-Hispanic White,Ages 50-64,Localized,26.5096,0.1919,26.1347,26.8884
Both Sexes,Non-Hispanic White,Ages 50-64,Regional,23.2869,0.179,22.9374,23.6404
Both Sexes,Non-Hispanic White,Ages 50-64,Distant,14.734,0.142,14.457,15.015
Both Sexes,Non-Hispanic White,Ages 50-64,Unstaged,2.4638,0.0582,2.351,2.5806
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,180.6767,0.5695,179.5621,181.7964
Both Sexes,Non-Hispanic White,Ages 65+,Localized,70.4589,0.3571,69.7608,71.1623
Both Sexes,Non-Hispanic White,Ages 65+,Regional,63.005,0.3368,62.3466,63.6686
Both Sexes,Non-Hispanic White,Ages 65+,Distant,34.0826,0.2469,33.6004,34.57
Both Sexes,Non-Hispanic White,Ages 65+,Unstaged,13.1301,0.1499,12.838,13.4272
Both Sexes,Non-Hispanic White,Ages <15,All Stages,0.2274,0.0207,0.1887,0.2718
Both Sexes,Non-Hispanic White,Ages <15,Localized,0.1879,0.0188,0.1529,0.2286
Both Sexes,Non-Hispanic White,Ages <15,Regional,0.0339,0.008,0.0201,0.0536
