Sex,Race/Ethnicity,Age,Stage,AgeadjustedRateper100000,Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Localized,4.8171,0.5779,3.7515,6.1002
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Regional,7.3746,0.7092,6.0503,8.9124
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Distant,14.8471,1.0063,12.9402,16.9652
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Unstaged,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,195.9625,9.5721,177.6483,215.6366
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Localized,40.2287,4.3708,32.1203,49.7357
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Regional,46.3301,4.6521,37.6623,56.3791
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Distant,97.8561,6.738,85.0946,111.9795
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Unstaged,11.5476,2.3406,7.4245,17.107
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,268.935,14.3825,241.4812,298.6622
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,Localized,48.4139,6.1028,37.197,61.9583
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,Regional,59.0138,6.7286,46.5669,73.7758
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,Distant,133.6315,10.1357,114.5037,155.0487
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages 75+,Unstaged,27.8759,4.6482,19.5203,38.5988
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,Localized,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,Regional,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,Distant,-,-,-,-
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,35.9647,0.2553,35.4659,36.4686
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,Localized,6.7231,0.1106,6.508,6.9434
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,Regional,6.9126,0.1122,6.6944,7.136
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,Distant,20.0397,0.1899,19.6691,20.4155
Both Sexes,Asian / Pacific Islander (includes Hispanic),All Ages,Unstaged,2.2893,0.0655,2.1627,2.4213
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,2.7081,0.08,2.5537,2.8696
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,Localized,0.3766,0.0298,0.3205,0.4397
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,Regional,0.4029,0.0308,0.3448,0.4681
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,Distant,1.8489,0.0661,1.7215,1.9832
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 50,Unstaged,0.0798,0.0137,0.0552,0.1116
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,All Stages,49.463,0.6704,48.1577,50.795
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Localized,8.5054,0.2764,7.9721,9.0652
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Regional,9.3695,0.2914,8.8071,9.9587
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Distant,29.7053,0.5205,28.6937,30.7436
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Unstaged,1.8828,0.1311,1.6346,2.1582
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,All Stages,210.3667,1.7998,206.8537,213.9242
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,Localized,40.9469,0.7935,39.4063,42.532
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,Regional,41.2697,0.7985,39.7193,42.8648
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,Distant,112.7272,1.3168,110.161,115.3379
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65+,Unstaged,15.4229,0.4882,14.4808,16.4099
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,All Stages,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,Localized,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,Regional,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,All Stages,1.0861,0.0697,0.9538,1.2316
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Localized,0.1745,0.0278,0.1243,0.2381
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Regional,0.1424,0.025,0.0978,0.2006
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Distant,0.7194,0.0569,0.6122,0.8398
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Unstaged,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,All Stages,29.5601,0.3727,28.8341,30.3
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Localized,4.8832,0.1501,4.5934,5.187
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Regional,5.4098,0.1586,5.1034,5.7302
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Distant,18.2126,0.2938,17.6413,18.798
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Unstaged,1.0544,0.07,0.9217,1.2014
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,157.7642,2.023,153.8239,161.7795
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Localized,32.2962,0.9152,30.5271,34.1407
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Regional,33.8182,0.9403,32.0003,35.7119
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Distant,84.1279,1.4741,81.2632,87.0674
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Unstaged,7.5219,0.4446,6.6757,8.4448
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,267.9253,3.0508,261.9788,273.9722
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,Localized,50.4126,1.326,47.8469,53.0794
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,Regional,49.4233,1.3184,46.8728,52.0755
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,Distant,144.0211,2.2366,139.6704,148.4723
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages 75+,Unstaged,24.0683,0.8992,22.3378,25.8979
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,Localized,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,Regional,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,Distant,-,-,-,-
Both Sexes,Asian / Pacific Islander (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Both Sexes,Black (includes Hispanic),All Ages,All Stages,56.1966,0.297,55.6159,56.7816
Both Sexes,Black (includes Hispanic),All Ages,Localized,10.1398,0.1274,9.8916,10.3923
Both Sexes,Black (includes Hispanic),All Ages,Regional,12.1595,0.1381,11.8903,12.433
Both Sexes,Black (includes Hispanic),All Ages,Distant,30.7822,0.2182,30.356,31.2127
Both Sexes,Black (includes Hispanic),All Ages,Unstaged,3.1151,0.0729,2.9739,3.2609
Both Sexes,Black (includes Hispanic),Ages < 50,All Stages,3.4666,0.0833,3.3053,3.6335
Both Sexes,Black (includes Hispanic),Ages < 50,Localized,0.4636,0.0303,0.4062,0.5266
Both Sexes,Black (includes Hispanic),Ages < 50,Regional,0.7204,0.0378,0.6481,0.7983
Both Sexes,Black (includes Hispanic),Ages < 50,Distant,2.165,0.0659,2.0377,2.298
Both Sexes,Black (includes Hispanic),Ages < 50,Unstaged,0.1175,0.0154,0.0894,0.1515
Both Sexes,Black (includes Hispanic),Ages 50-64,All Stages,102.8028,0.8605,101.1231,104.5036
Both Sexes,Black (includes Hispanic),Ages 50-64,Localized,15.8594,0.3374,15.205,16.5348
Both Sexes,Black (includes Hispanic),Ages 50-64,Regional,22.2922,0.4007,21.5137,23.0917
Both Sexes,Black (includes Hispanic),Ages 50-64,Distant,61.2306,0.6646,59.9349,62.5473
Both Sexes,Black (includes Hispanic),Ages 50-64,Unstaged,3.4207,0.1565,3.1207,3.7419
Both Sexes,Black (includes Hispanic),Ages 65+,All Stages,302.8134,2.0623,298.7847,306.8829
Both Sexes,Black (includes Hispanic),Ages 65+,Localized,58.7563,0.9085,56.9889,60.5646
Both Sexes,Black (includes Hispanic),Ages 65+,Regional,65.6334,0.9598,63.7657,67.5421
Both Sexes,Black (includes Hispanic),Ages 65+,Distant,158.5078,1.4887,155.6033,161.4531
Both Sexes,Black (includes Hispanic),Ages 65+,Unstaged,19.9158,0.5387,18.8739,20.9998
Both Sexes,Black (includes Hispanic),Ages <15,All Stages,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages <15,Localized,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages <15,Regional,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages <15,Distant,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages 15-39,All Stages,1.1887,0.0691,1.057,1.3316
Both Sexes,Black (includes Hispanic),Ages 15-39,Localized,0.2118,0.0283,0.1601,0.2746
Both Sexes,Black (includes Hispanic),Ages 15-39,Regional,0.2292,0.0305,0.1734,0.2965
Both Sexes,Black (includes Hispanic),Ages 15-39,Distant,0.7102,0.0539,0.6084,0.8234
Both Sexes,Black (includes Hispanic),Ages 15-39,Unstaged,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages 40-64,All Stages,57.5289,0.4613,56.6282,58.4407
Both Sexes,Black (includes Hispanic),Ages 40-64,Localized,8.645,0.1779,8.2997,9.0014
Both Sexes,Black (includes Hispanic),Ages 40-64,Regional,12.4307,0.2142,12.0144,12.8582
Both Sexes,Black (includes Hispanic),Ages 40-64,Distant,34.5333,0.358,33.8352,35.2428
Both Sexes,Black (includes Hispanic),Ages 40-64,Unstaged,1.9198,0.0842,1.7583,2.0927
Both Sexes,Black (includes Hispanic),Ages 65-74,All Stages,274.0072,2.4937,269.1412,278.9387
Both Sexes,Black (includes Hispanic),Ages 65-74,Localized,54.4994,1.1141,52.3375,56.7272
Both Sexes,Black (includes Hispanic),Ages 65-74,Regional,60.821,1.1746,58.5403,63.1673
Both Sexes,Black (includes Hispanic),Ages 65-74,Distant,147.2694,1.8264,143.7113,150.8931
Both Sexes,Black (includes Hispanic),Ages 65-74,Unstaged,11.4174,0.5117,10.4363,12.4652
Both Sexes,Black (includes Hispanic),Ages 75+,All Stages,334.3336,3.3477,327.8041,340.96
Both Sexes,Black (includes Hispanic),Ages 75+,Localized,63.4143,1.4609,60.583,66.3431
Both Sexes,Black (includes Hispanic),Ages 75+,Regional,70.8994,1.5453,67.9026,73.9936
Both Sexes,Black (includes Hispanic),Ages 75+,Distant,170.805,2.3929,166.1469,175.5601
Both Sexes,Black (includes Hispanic),Ages 75+,Unstaged,29.2149,0.9793,27.3268,31.1994
Both Sexes,Black (includes Hispanic),Ages < 20,All Stages,0.0894,0.0195,0.0553,0.1367
Both Sexes,Black (includes Hispanic),Ages < 20,Localized,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages < 20,Regional,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages < 20,Distant,-,-,-,-
Both Sexes,Black (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Both Sexes,Hispanic (any race),All Ages,All Stages,29.0667,0.2081,28.6602,29.477
Both Sexes,Hispanic (any race),All Ages,Localized,5.6359,0.0924,5.4563,5.8195
Both Sexes,Hispanic (any race),All Ages,Regional,5.7183,0.092,5.5394,5.901
Both Sexes,Hispanic (any race),All Ages,Distant,15.4384,0.1506,15.1447,15.7359
Both Sexes,Hispanic (any race),All Ages,Unstaged,2.2741,0.0603,2.1574,2.3948
Both Sexes,Hispanic (any race),Ages < 50,All Stages,1.4933,0.0426,1.411,1.5789
Both Sexes,Hispanic (any race),Ages < 50,Localized,0.2543,0.0173,0.2215,0.2903
Both Sexes,Hispanic (any race),Ages < 50,Regional,0.2516,0.0175,0.2185,0.288
Both Sexes,Hispanic (any race),Ages < 50,Distant,0.9105,0.0334,0.8463,0.9781
Both Sexes,Hispanic (any race),Ages < 50,Unstaged,0.0769,0.0097,0.0592,0.0981
Both Sexes,Hispanic (any race),Ages 50-64,All Stages,35.9162,0.4685,35.0038,36.8463
Both Sexes,Hispanic (any race),Ages 50-64,Localized,5.9446,0.1907,5.5767,6.3303
Both Sexes,Hispanic (any race),Ages 50-64,Regional,7.3798,0.2124,6.9692,7.8082
Both Sexes,Hispanic (any race),Ages 50-64,Distant,21.0434,0.3585,20.3466,21.7581
Both Sexes,Hispanic (any race),Ages 50-64,Unstaged,1.5484,0.0972,1.3637,1.7511
Both Sexes,Hispanic (any race),Ages 65+,All Stages,178.8179,1.5307,175.8303,181.8434
Both Sexes,Hispanic (any race),Ages 65+,Localized,36.0838,0.6881,34.7475,37.4581
Both Sexes,Hispanic (any race),Ages 65+,Regional,35.0476,0.6755,33.7361,36.397
Both Sexes,Hispanic (any race),Ages 65+,Distant,91.9707,1.0963,89.8345,94.1448
Both Sexes,Hispanic (any race),Ages 65+,Unstaged,15.7158,0.4597,14.8276,16.6428
Both Sexes,Hispanic (any race),Ages <15,All Stages,-,-,-,-
Both Sexes,Hispanic (any race),Ages <15,Localized,-,-,-,-
Both Sexes,Hispanic (any race),Ages <15,Regional,-,-,-,-
Both Sexes,Hispanic (any race),Ages <15,Distant,-,-,-,-
Both Sexes,Hispanic (any race),Ages <15,Unstaged,-,-,-,-
Both Sexes,Hispanic (any race),Ages 15-39,All Stages,0.7399,0.0402,0.6632,0.8228
Both Sexes,Hispanic (any race),Ages 15-39,Localized,0.1666,0.0187,0.1319,0.2073
Both Sexes,Hispanic (any race),Ages 15-39,Regional,0.12,0.0161,0.0906,0.1556
Both Sexes,Hispanic (any race),Ages 15-39,Distant,0.4172,0.0305,0.3595,0.4811
Both Sexes,Hispanic (any race),Ages 15-39,Unstaged,0.0362,0.0089,0.0209,0.0579
Both Sexes,Hispanic (any race),Ages 40-64,All Stages,20.3831,0.2479,19.9002,20.8748
Both Sexes,Hispanic (any race),Ages 40-64,Localized,3.3269,0.1002,3.1335,3.5292
Both Sexes,Hispanic (any race),Ages 40-64,Regional,4.096,0.1112,3.881,4.3198
Both Sexes,Hispanic (any race),Ages 40-64,Distant,12.0553,0.1906,11.6846,12.4347
Both Sexes,Hispanic (any race),Ages 40-64,Unstaged,0.9049,0.0522,0.8055,1.0132
Both Sexes,Hispanic (any race),Ages 65-74,All Stages,140.7327,1.7328,137.3566,144.1702
Both Sexes,Hispanic (any race),Ages 65-74,Localized,28.9499,0.7874,27.4269,30.5347
Both Sexes,Hispanic (any race),Ages 65-74,Regional,30.1006,0.8005,28.5518,31.711
Both Sexes,Hispanic (any race),Ages 65-74,Distant,74.3269,1.2588,71.88,76.8354
Both Sexes,Hispanic (any race),Ages 65-74,Unstaged,7.3553,0.3966,6.5985,8.1745
Both Sexes,Hispanic (any race),Ages 75+,All Stages,220.4915,2.5846,215.4545,225.6162
Both Sexes,Hispanic (any race),Ages 75+,Localized,43.8899,1.1552,41.6547,46.2134
Both Sexes,Hispanic (any race),Ages 75+,Regional,40.4607,1.1107,38.3127,42.6972
Both Sexes,Hispanic (any race),Ages 75+,Distant,111.2769,1.8367,107.7057,114.9359
Both Sexes,Hispanic (any race),Ages 75+,Unstaged,24.8641,0.8594,23.208,26.6074
Both Sexes,Hispanic (any race),Ages < 20,All Stages,0.055,0.0112,0.0352,0.0818
Both Sexes,Hispanic (any race),Ages < 20,Localized,-,-,-,-
Both Sexes,Hispanic (any race),Ages < 20,Regional,-,-,-,-
Both Sexes,Hispanic (any race),Ages < 20,Distant,-,-,-,-
Both Sexes,Hispanic (any race),Ages < 20,Unstaged,-,-,-,-
Both Sexes,Non-Hispanic White,All Ages,All Stages,60.8687,0.118,60.6375,61.1005
Both Sexes,Non-Hispanic White,All Ages,Localized,13.7155,0.0562,13.6055,13.8262
Both Sexes,Non-Hispanic White,All Ages,Regional,13.4883,0.0556,13.3795,13.5978
Both Sexes,Non-Hispanic White,All Ages,Distant,30.0689,0.0829,29.9067,30.2319
Both Sexes,Non-Hispanic White,All Ages,Unstaged,3.596,0.0284,3.5406,3.6521
Both Sexes,Non-Hispanic White,Ages < 50,All Stages,3.5264,0.0415,3.4455,3.6087
Both Sexes,Non-Hispanic White,Ages < 50,Localized,0.6417,0.0178,0.6073,0.6775
Both Sexes,Non-Hispanic White,Ages < 50,Regional,0.7715,0.0194,0.734,0.8105
Both Sexes,Non-Hispanic White,Ages < 50,Distant,2.0193,0.0314,1.9583,2.0818
Both Sexes,Non-Hispanic White,Ages < 50,Unstaged,0.0939,0.0068,0.081,0.1082
Both Sexes,Non-Hispanic White,Ages 50-64,All Stages,90.1744,0.3448,89.4999,90.8527
Both Sexes,Non-Hispanic White,Ages 50-64,Localized,16.7572,0.1477,16.4689,17.0494
Both Sexes,Non-Hispanic White,Ages 50-64,Regional,20.75,0.1653,20.4273,21.0767
Both Sexes,Non-Hispanic White,Ages 50-64,Distant,49.7979,0.2568,49.2958,50.3038
Both Sexes,Non-Hispanic White,Ages 50-64,Unstaged,2.8693,0.0612,2.7505,2.992
Both Sexes,Non-Hispanic White,Ages 65+,All Stages,354.4234,0.8053,352.8469,356.0052
Both Sexes,Non-Hispanic White,Ages 65+,Localized,84.9639,0.396,84.1895,85.7436
Both Sexes,Non-Hispanic White,Ages 65+,Regional,77.6847,0.3781,76.9453,78.4293
Both Sexes,Non-Hispanic White,Ages 65+,Distant,167.2641,0.5523,166.1833,168.3502
Both Sexes,Non-Hispanic White,Ages 65+,Unstaged,24.5107,0.2088,24.1032,24.9233
Both Sexes,Non-Hispanic White,Ages <15,All Stages,0.0611,0.0108,0.0418,0.0863
Both Sexes,Non-Hispanic White,Ages <15,Localized,0.0324,0.0079,0.0189,0.052
Both Sexes,Non-Hispanic White,Ages <15,Regional,-,-,-,-
Both Sexes,Non-Hispanic White,Ages <15,Distant,-,-,-,-
Both Sexes,Non-Hispanic White,Ages <15,Unstaged,-,-,-,-
Both Sexes,Non-Hispanic White,Ages 15-39,All Stages,1.0735,0.0344,1.0072,1.1429
Both Sexes,Non-Hispanic White,Ages 15-39,Localized,0.3037,0.018,0.2694,0.341
