Sex,Race/Ethnicity,Age,Stage,AgeadjustedRateper100000,Age-adjusted Rate Standard Error,Age-adjusted Rate Lower Confidence Interval,Age-adjusted Rate Upper Confidence Interval
Female,All Races (includes Hispanic),Ages 40-64,Distant,11.3197,0.1056,11.1136,11.5287
Female,All Races (includes Hispanic),Ages 40-64,Unstaged,3.1108,0.0559,3.0022,3.2224
Female,All Races (includes Hispanic),Ages 65-74,All Stages,443.7829,1.3583,441.1246,446.4533
Female,All Races (includes Hispanic),Ages 65-74,Localized,314.4212,1.1442,312.1825,316.672
Female,All Races (includes Hispanic),Ages 65-74,Regional,98.7498,0.6391,97.501,100.0106
Female,All Races (includes Hispanic),Ages 65-74,Distant,23.5882,0.313,22.9787,24.2097
Female,All Races (includes Hispanic),Ages 65-74,Unstaged,7.0237,0.1713,6.692,7.3675
Female,All Races (includes Hispanic),Ages 75+,All Stages,412.2158,1.4472,409.3841,415.0619
Female,All Races (includes Hispanic),Ages 75+,Localized,278.158,1.1952,275.8203,280.5103
Female,All Races (includes Hispanic),Ages 75+,Regional,89.5627,0.6731,88.2484,90.8915
Female,All Races (includes Hispanic),Ages 75+,Distant,27.2938,0.3694,26.5747,28.0273
Female,All Races (includes Hispanic),Ages 75+,Unstaged,17.2012,0.2765,16.6635,17.7521
Female,All Races (includes Hispanic),Ages < 20,All Stages,0.0451,0.0077,0.0312,0.063
Female,All Races (includes Hispanic),Ages < 20,Localized,0.0292,0.0062,0.0183,0.0442
Female,All Races (includes Hispanic),Ages < 20,Regional,-,-,-,-
Female,All Races (includes Hispanic),Ages < 20,Distant,-,-,-,-
Female,All Races (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),All Ages,All Stages,79.5429,2.0712,75.5347,83.7021
Female,American Indian / Alaska Native (includes Hispanic),All Ages,Localized,49.221,1.6281,46.0813,52.5119
Female,American Indian / Alaska Native (includes Hispanic),All Ages,Regional,22.8157,1.0975,20.715,25.0663
Female,American Indian / Alaska Native (includes Hispanic),All Ages,Distant,5.7087,0.5737,4.6398,6.9385
Female,American Indian / Alaska Native (includes Hispanic),All Ages,Unstaged,1.7975,0.3248,1.2181,2.5429
Female,American Indian / Alaska Native (includes Hispanic),Ages < 50,All Stages,23.8882,1.3104,21.3886,26.5822
Female,American Indian / Alaska Native (includes Hispanic),Ages < 50,Localized,12.2057,0.9379,10.4366,14.1702
Female,American Indian / Alaska Native (includes Hispanic),Ages < 50,Regional,9.4582,0.8227,7.9145,11.1969
Female,American Indian / Alaska Native (includes Hispanic),Ages < 50,Distant,1.8175,0.3644,1.1748,2.6622
Female,American Indian / Alaska Native (includes Hispanic),Ages < 50,Unstaged,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages 50-64,All Stages,175.8801,6.7967,162.8094,189.7215
Female,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Localized,114.5713,5.484,104.0737,125.8416
Female,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Regional,49.1406,3.6003,42.3372,56.7254
Female,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Distant,9.5412,1.5704,6.7149,13.1626
Female,American Indian / Alaska Native (includes Hispanic),Ages 50-64,Unstaged,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages 65+,All Stages,283.8959,12.134,260.6085,308.7335
Female,American Indian / Alaska Native (includes Hispanic),Ages 65+,Localized,183.6182,9.735,165.0313,203.7567
Female,American Indian / Alaska Native (includes Hispanic),Ages 65+,Regional,68.0612,5.9137,56.9646,80.7248
Female,American Indian / Alaska Native (includes Hispanic),Ages 65+,Distant,23.4411,3.5747,16.9644,31.5756
Female,American Indian / Alaska Native (includes Hispanic),Ages 65+,Unstaged,8.7754,2.171,5.0493,14.1953
Female,American Indian / Alaska Native (includes Hispanic),Ages <15,All Stages,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages <15,Localized,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages <15,Regional,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages <15,Distant,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages 15-39,All Stages,14.5993,1.4123,11.9628,17.6148
Female,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Localized,7.0291,0.9832,5.2354,9.2072
Female,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Regional,6.3265,0.9241,4.6464,8.3869
Female,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Distant,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages 15-39,Unstaged,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages 40-64,All Stages,126.6069,4.2732,118.369,135.2722
Female,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Localized,77.3824,3.315,71.0206,84.1689
Female,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Regional,39.3769,2.4141,34.787,44.4053
Female,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Distant,8.0293,1.0878,6.0401,10.4669
Female,American Indian / Alaska Native (includes Hispanic),Ages 40-64,Unstaged,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages 65-74,All Stages,299.8344,15.8516,269.5671,332.5669
Female,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Localized,203.4662,13.111,178.5785,230.8411
Female,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Regional,72.4084,7.7299,58.0541,89.2489
Female,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Distant,17.5529,3.7896,10.9279,26.7408
Female,American Indian / Alaska Native (includes Hispanic),Ages 65-74,Unstaged,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages 75+,All Stages,266.4556,18.571,231.2981,305.4398
Female,American Indian / Alaska Native (includes Hispanic),Ages 75+,Localized,161.9001,14.4853,134.7561,192.898
Female,American Indian / Alaska Native (includes Hispanic),Ages 75+,Regional,63.3044,9.0464,46.828,83.6935
Female,American Indian / Alaska Native (includes Hispanic),Ages 75+,Distant,29.884,6.233,18.9412,44.8287
Female,American Indian / Alaska Native (includes Hispanic),Ages 75+,Unstaged,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages < 20,All Stages,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages < 20,Localized,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages < 20,Regional,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages < 20,Distant,-,-,-,-
Female,American Indian / Alaska Native (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),All Ages,All Stages,100.0925,0.5515,99.0145,101.1796
Female,Asian / Pacific Islander (includes Hispanic),All Ages,Localized,65.3639,0.4459,64.4929,66.2441
Female,Asian / Pacific Islander (includes Hispanic),All Ages,Regional,28.1067,0.292,27.5373,28.6851
Female,Asian / Pacific Islander (includes Hispanic),All Ages,Distant,4.7367,0.1196,4.5051,4.9774
Female,Asian / Pacific Islander (includes Hispanic),All Ages,Unstaged,1.8852,0.0759,1.7393,2.0403
Female,Asian / Pacific Islander (includes Hispanic),Ages < 50,All Stages,42.9371,0.4378,42.0833,43.8041
Female,Asian / Pacific Islander (includes Hispanic),Ages < 50,Localized,25.8151,0.3398,25.1534,26.4903
Female,Asian / Pacific Islander (includes Hispanic),Ages < 50,Regional,14.584,0.2548,14.0888,15.0926
Female,Asian / Pacific Islander (includes Hispanic),Ages < 50,Distant,1.8706,0.0908,1.6969,2.0577
Female,Asian / Pacific Islander (includes Hispanic),Ages < 50,Unstaged,0.6673,0.0546,0.5646,0.7837
Female,Asian / Pacific Islander (includes Hispanic),Ages 50-64,All Stages,229.0787,2.0013,225.1729,233.0351
Female,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Localized,149.5278,1.6149,146.3792,152.7269
Female,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Regional,64.2686,1.0624,62.203,66.3851
Female,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Distant,11.5633,0.4512,10.6957,12.4821
Female,Asian / Pacific Islander (includes Hispanic),Ages 50-64,Unstaged,3.719,0.2545,3.2369,4.2526
Female,Asian / Pacific Islander (includes Hispanic),Ages 65+,All Stages,274.2975,2.6683,269.0925,279.5783
Female,Asian / Pacific Islander (includes Hispanic),Ages 65+,Localized,191.9429,2.2337,187.5896,196.3721
Female,Asian / Pacific Islander (includes Hispanic),Ages 65+,Regional,62.6251,1.2723,60.1559,65.17
Female,Asian / Pacific Islander (includes Hispanic),Ages 65+,Distant,13.0471,0.5823,11.9306,14.2403
Female,Asian / Pacific Islander (includes Hispanic),Ages 65+,Unstaged,6.6824,0.4147,5.8942,7.5473
Female,Asian / Pacific Islander (includes Hispanic),Ages <15,All Stages,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages <15,Localized,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages <15,Regional,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages <15,Distant,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages 15-39,All Stages,20.3977,0.4195,19.5836,21.2371
Female,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Localized,10.4814,0.301,9.8997,11.0885
Female,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Regional,8.1814,0.2657,7.6688,8.7194
Female,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Distant,1.3828,0.1085,1.1784,1.613
Female,Asian / Pacific Islander (includes Hispanic),Ages 15-39,Unstaged,0.352,0.0552,0.2522,0.4785
Female,Asian / Pacific Islander (includes Hispanic),Ages 40-64,All Stages,191.4377,1.3495,188.8016,194.1012
Female,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Localized,123.0016,1.0798,120.8942,125.1365
Female,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Regional,56.8792,0.7393,55.4393,58.3469
Female,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Distant,8.5441,0.2832,7.998,9.1178
Female,Asian / Pacific Islander (includes Hispanic),Ages 40-64,Unstaged,3.0127,0.1688,2.6909,3.3624
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,312.0833,3.7924,304.6941,319.6067
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Localized,222.2896,3.2026,216.0565,228.6571
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Regional,71.1079,1.8058,67.6122,74.7381
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Distant,13.3759,0.7853,11.8808,15.0074
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,Unstaged,5.3099,0.498,4.3788,6.3801
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,232.9517,3.7423,225.674,240.4019
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,Localized,158.7371,3.0989,152.7209,164.9268
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,Regional,53.3429,1.7876,49.8965,56.9625
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,Distant,12.6874,0.8654,11.0479,14.5003
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,Unstaged,8.1842,0.6764,6.9122,9.6246
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,Localized,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,Regional,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,Distant,-,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Female,Black (includes Hispanic),All Ages,All Stages,124.0098,0.5635,122.9078,125.1192
Female,Black (includes Hispanic),All Ages,Localized,70.116,0.4238,69.2879,70.9515
Female,Black (includes Hispanic),All Ages,Regional,40.3266,0.3208,39.7003,40.9603
Female,Black (includes Hispanic),All Ages,Distant,10.4938,0.1639,10.175,10.82
Female,Black (includes Hispanic),All Ages,Unstaged,3.0734,0.0905,2.8986,3.2559
Female,Black (includes Hispanic),Ages < 50,All Stages,44.5438,0.4149,43.7343,45.3641
Female,Black (includes Hispanic),Ages < 50,Localized,22.0659,0.2921,21.4971,22.6455
Female,Black (includes Hispanic),Ages < 50,Regional,17.8488,0.2629,17.3373,18.3712
Female,Black (includes Hispanic),Ages < 50,Distant,3.761,0.12,3.5294,4.0035
Female,Black (includes Hispanic),Ages < 50,Unstaged,0.8681,0.0577,0.7587,0.9883
Female,Black (includes Hispanic),Ages 50-64,All Stages,273.071,1.9234,269.314,276.8673
Female,Black (includes Hispanic),Ages 50-64,Localized,154.6027,1.4456,151.7821,157.4625
Female,Black (includes Hispanic),Ages 50-64,Regional,90.4493,1.1092,88.2882,92.6498
Female,Black (includes Hispanic),Ages 50-64,Distant,23.7654,0.5673,22.6664,24.9038
Female,Black (includes Hispanic),Ages 50-64,Unstaged,4.2536,0.24,3.7961,4.751
Female,Black (includes Hispanic),Ages 65+,All Stages,402.1388,3.0044,396.2717,408.0713
Female,Black (includes Hispanic),Ages 65+,Localized,244.9884,2.3457,240.4121,249.63
Female,Black (includes Hispanic),Ages 65+,Regional,109.5542,1.5638,106.5104,112.6632
Female,Black (includes Hispanic),Ages 65+,Distant,33.2961,0.8693,31.6139,35.0445
Female,Black (includes Hispanic),Ages 65+,Unstaged,14.3002,0.5679,13.2085,15.4581
Female,Black (includes Hispanic),Ages <15,All Stages,-,-,-,-
Female,Black (includes Hispanic),Ages <15,Localized,-,-,-,-
Female,Black (includes Hispanic),Ages <15,Regional,-,-,-,-
Female,Black (includes Hispanic),Ages <15,Distant,-,-,-,-
Female,Black (includes Hispanic),Ages <15,Unstaged,-,-,-,-
Female,Black (includes Hispanic),Ages 15-39,All Stages,24.6971,0.4393,23.8435,25.5723
Female,Black (includes Hispanic),Ages 15-39,Localized,10.4244,0.2861,9.8712,10.9994
Female,Black (includes Hispanic),Ages 15-39,Regional,11.063,0.2942,10.4938,11.654
Female,Black (includes Hispanic),Ages 15-39,Distant,2.6238,0.1416,2.3536,2.9155
Female,Black (includes Hispanic),Ages 15-39,Unstaged,0.5859,0.0674,0.4612,0.7326
Female,Black (includes Hispanic),Ages 40-64,All Stages,211.9314,1.2701,209.4493,214.4357
Female,Black (includes Hispanic),Ages 40-64,Localized,116.6287,0.9384,114.7966,118.4829
Female,Black (includes Hispanic),Ages 40-64,Regional,74.2048,0.7571,72.7283,75.7037
Female,Black (includes Hispanic),Ages 40-64,Distant,17.6165,0.3643,16.9097,18.3454
Female,Black (includes Hispanic),Ages 40-64,Unstaged,3.4813,0.1633,3.1686,3.8167
Female,Black (includes Hispanic),Ages 65-74,All Stages,410.1438,3.9782,402.3833,418.0164
Female,Black (includes Hispanic),Ages 65-74,Localized,258.9714,3.1662,252.8025,265.2527
Female,Black (includes Hispanic),Ages 65-74,Regional,112.9649,2.0785,108.9275,117.114
Female,Black (includes Hispanic),Ages 65-74,Distant,30.3904,1.0851,28.3005,32.5936
Female,Black (includes Hispanic),Ages 65-74,Unstaged,7.8171,0.551,6.7743,8.9746
Female,Black (includes Hispanic),Ages 75+,All Stages,393.3797,4.5429,384.5256,402.3846
Female,Black (includes Hispanic),Ages 75+,Localized,229.6879,3.4827,222.912,236.6155
Female,Black (includes Hispanic),Ages 75+,Regional,105.8221,2.3564,101.2534,110.5421
Female,Black (includes Hispanic),Ages 75+,Distant,36.4756,1.38,33.8207,39.2822
Female,Black (includes Hispanic),Ages 75+,Unstaged,21.3941,1.0252,19.4316,23.5031
Female,Black (includes Hispanic),Ages < 20,All Stages,-,-,-,-
Female,Black (includes Hispanic),Ages < 20,Localized,-,-,-,-
Female,Black (includes Hispanic),Ages < 20,Regional,-,-,-,-
Female,Black (includes Hispanic),Ages < 20,Distant,-,-,-,-
Female,Black (includes Hispanic),Ages < 20,Unstaged,-,-,-,-
Female,Hispanic (any race),All Ages,All Stages,97.165,0.458,96.2694,98.0664
Female,Hispanic (any race),All Ages,Localized,58.3403,0.3579,57.6408,59.0457
Female,Hispanic (any race),All Ages,Regional,31.0541,0.2537,30.5589,31.5552
Female,Hispanic (any race),All Ages,Distant,5.4843,0.1097,5.2714,5.7032
Female,Hispanic (any race),All Ages,Unstaged,2.2863,0.0723,2.1467,2.4321
Female,Hispanic (any race),Ages < 50,All Stages,35.1567,0.2955,34.58,35.7401
Female,Hispanic (any race),Ages < 50,Localized,18.0368,0.2121,17.6234,18.457
Female,Hispanic (any race),Ages < 50,Regional,14.5692,0.1898,14.1995,14.9456
Female,Hispanic (any race),Ages < 50,Distant,1.8577,0.0675,1.7279,1.9943
Female,Hispanic (any race),Ages < 50,Unstaged,0.693,0.0414,0.6143,0.7784
Female,Hispanic (any race),Ages 50-64,All Stages,216.216,1.5965,213.0981,219.368
Female,Hispanic (any race),Ages 50-64,Localized,130.1151,1.2383,127.6993,132.5651
Female,Hispanic (any race),Ages 50-64,Regional,70.5122,0.912,68.7359,72.3227
Female,Hispanic (any race),Ages 50-64,Distant,11.8547,0.3737,11.1335,12.6104
Female,Hispanic (any race),Ages 50-64,Unstaged,3.734,0.2098,3.3341,4.1687
Female,Hispanic (any race),Ages 65+,All Stages,310.9451,2.5845,305.8999,316.053
Female,Hispanic (any race),Ages 65+,Localized,203.9412,2.0943,199.8569,208.0883
Female,Hispanic (any race),Ages 65+,Regional,78.6227,1.2949,76.105,81.203
Female,Hispanic (any race),Ages 65+,Distant,18.6899,0.6383,17.4596,19.9841
Female,Hispanic (any race),Ages 65+,Unstaged,9.6914,0.4579,8.8146,10.6321
Female,Hispanic (any race),Ages <15,All Stages,-,-,-,-
Female,Hispanic (any race),Ages <15,Localized,-,-,-,-
Female,Hispanic (any race),Ages <15,Regional,-,-,-,-
Female,Hispanic (any race),Ages <15,Distant,-,-,-,-
Female,Hispanic (any race),Ages <15,Unstaged,-,-,-,-
Female,Hispanic (any race),Ages 15-39,All Stages,18.1352,0.2885,17.5741,18.709
Female,Hispanic (any race),Ages 15-39,Localized,8.0079,0.192,7.636,8.3927
Female,Hispanic (any race),Ages 15-39,Regional,8.4126,0.1963,8.0323,8.8057
Female,Hispanic (any race),Ages 15-39,Distant,1.314,0.0775,1.1665,1.4744
Female,Hispanic (any race),Ages 15-39,Unstaged,0.4006,0.0427,0.3213,0.493
Female,Hispanic (any race),Ages 40-64,All Stages,169.2089,1.0009,167.2528,171.1823
Female,Hispanic (any race),Ages 40-64,Localized,97.7923,0.7603,96.3077,99.2941
Female,Hispanic (any race),Ages 40-64,Regional,59.6544,0.5952,58.4935,60.8325
Female,Hispanic (any race),Ages 40-64,Distant,8.7378,0.2272,8.2981,9.1947
Female,Hispanic (any race),Ages 40-64,Unstaged,3.0244,0.1339,2.7677,3.2986
Female,Hispanic (any race),Ages 65-74,All Stages,333.1459,3.5149,326.292,340.1077
Female,Hispanic (any race),Ages 65-74,Localized,222.9886,2.88,217.3792,228.7061
Female,Hispanic (any race),Ages 65-74,Regional,86.2481,1.7817,82.7911,89.8129
Female,Hispanic (any race),Ages 65-74,Distant,17.3022,0.8028,15.7643,18.9497
Female,Hispanic (any race),Ages 65-74,Unstaged,6.607,0.4914,5.6789,7.6445
Female,Hispanic (any race),Ages 75+,All Stages,286.6526,3.8083,279.2364,294.2144
Female,Hispanic (any race),Ages 75+,Localized,183.0992,3.0504,177.1689,189.1757
Female,Hispanic (any race),Ages 75+,Regional,70.2788,1.885,66.6324,74.0714
Female,Hispanic (any race),Ages 75+,Distant,20.2083,1.0076,18.2814,22.2819
Female,Hispanic (any race),Ages 75+,Unstaged,13.0663,0.794,11.5563,14.7199
Female,Hispanic (any race),Ages < 20,All Stages,-,-,-,-
Female,Hispanic (any race),Ages < 20,Localized,-,-,-,-
Female,Hispanic (any race),Ages < 20,Regional,-,-,-,-
Female,Hispanic (any race),Ages < 20,Distant,-,-,-,-
Female,Hispanic (any race),Ages < 20,Unstaged,-,-,-,-
Female,Non-Hispanic White,All Ages,All Stages,136.5545,0.2595,136.0464,137.0642
Female,Non-Hispanic White,All Ages,Localized,90.6527,0.2092,90.243,91.0638
Female,Non-Hispanic White,All Ages,Regional,36.279,0.1379,36.0092,36.5503
Female,Non-Hispanic White,All Ages,Distant,7.2682,0.0593,7.1525,7.3855
Female,Non-Hispanic White,All Ages,Unstaged,2.3547,0.0321,2.2921,2.4187
Female,Non-Hispanic White,Ages < 50,All Stages,48.1518,0.2215,47.7187,48.5879
Female,Non-Hispanic White,Ages < 50,Localized,28.2773,0.1692,27.9466,28.6109
Female,Non-Hispanic White,Ages < 50,Regional,17.0649,0.1325,16.8062,17.3265
Female,Non-Hispanic White,Ages < 50,Distant,2.2879,0.0485,2.1939,2.3849
Female,Non-Hispanic White,Ages < 50,Unstaged,0.5218,0.0231,0.4775,0.5691
Female,Non-Hispanic White,Ages 50-64,All Stages,286.95,0.8829,285.2222,288.6857
Female,Non-Hispanic White,Ages 50-64,Localized,191.1707,0.7192,189.7636,192.5855
Female,Non-Hispanic White,Ages 50-64,Regional,77.3541,0.4609,76.4533,78.2629
Female,Non-Hispanic White,Ages 50-64,Distant,15.0368,0.2017,14.6442,15.4373
Female,Non-Hispanic White,Ages 50-64,Unstaged,3.3884,0.0953,3.2041,3.5806
Female,Non-Hispanic White,Ages 65+,All Stages,464.2701,1.2286,461.8652,466.6844
Female,Non-Hispanic White,Ages 65+,Localized,328.5261,1.0364,326.4979,330.5636
Female,Non-Hispanic White,Ages 65+,Regional,97.555,0.5616,96.4572,98.662
Female,Non-Hispanic White,Ages 65+,Distant,26.5665,0.2927,25.9959,27.1463
Female,Non-Hispanic White,Ages 65+,Unstaged,11.6226,0.1852,11.2623,11.9916
Female,Non-Hispanic White,Ages <15,All Stages,-,-,-,-
Female,Non-Hispanic White,Ages <15,Localized,-,-,-,-
Female,Non-Hispanic White,Ages <15,Regional,-,-,-,-
Female,Non-Hispanic White,Ages <15,Distant,-,-,-,-
Female,Non-Hispanic White,Ages <15,Unstaged,-,-,-,-
Female,Non-Hispanic White,Ages 15-39,All Stages,23.4653,0.2302,23.0163,23.9205
Female,Non-Hispanic White,Ages 15-39,Localized,11.5491,0.1617,11.2344,11.8701
Female,Non-Hispanic White,Ages 15-39,Regional,10.0334,0.1504,9.7408,10.3324
Female,Non-Hispanic White,Ages 15-39,Distant,1.5769,0.0595,1.4624,1.6977
Female,Non-Hispanic White,Ages 15-39,Unstaged,0.3059,0.0261,0.2568,0.3614
Female,Non-Hispanic White,Ages 40-64,All Stages,228.8199,0.6289,227.5888,230.0559
Female,Non-Hispanic White,Ages 40-64,Localized,148.1612,0.5025,147.1779,149.1495
Female,Non-Hispanic White,Ages 40-64,Regional,67.0767,0.3469,66.3985,67.7601
Female,Non-Hispanic White,Ages 40-64,Distant,11.025,0.1356,10.7609,11.2941
Female,Non-Hispanic White,Ages 40-64,Unstaged,2.557,0.0656,2.43,2.689
Female,Non-Hispanic White,Ages 65-74,All Stages,478.326,1.6937,475.0121,481.6573
Female,Non-Hispanic White,Ages 65-74,Localized,346.0775,1.4415,343.2579,348.9145
Female,Non-Hispanic White,Ages 65-74,Regional,101.101,0.7772,99.5834,102.636
Female,Non-Hispanic White,Ages 65-74,Distant,24.7588,0.3848,24.0103,25.5248
Female,Non-Hispanic White,Ages 65-74,Unstaged,6.3886,0.1963,6.0096,6.7852
Female,Non-Hispanic White,Ages 75+,All Stages,448.8899,1.7848,445.3984,452.4014
Female,Non-Hispanic White,Ages 75+,Localized,309.3211,1.4909,306.4059,312.2565
Female,Non-Hispanic White,Ages 75+,Regional,93.6748,0.8126,92.0889,95.2807
Female,Non-Hispanic White,Ages 75+,Distant,28.5444,0.4454,27.6781,29.4305
Female,Non-Hispanic White,Ages 75+,Unstaged,17.3496,0.323,16.7222,17.9951
Female,Non-Hispanic White,Ages < 20,All Stages,-,-,-,-
Female,Non-Hispanic White,Ages < 20,Localized,-,-,-,-
Female,Non-Hispanic White,Ages < 20,Regional,-,-,-,-
Female,Non-Hispanic White,Ages < 20,Distant,-,-,-,-
Female,Non-Hispanic White,Ages < 20,Unstaged,-,-,-,-
Female,White (includes Hispanic),All Ages,All Stages,130.4876,0.228,130.0411,130.9352
Female,White (includes Hispanic),All Ages,Localized,85.5759,0.1833,85.217,85.936
Female,White (includes Hispanic),All Ages,Regional,35.5563,0.1215,35.3186,35.7953
Female,White (includes Hispanic),All Ages,Distant,7.0073,0.0525,6.9048,7.111
